column,n_missing,missing_pct
mxene_formula__unit,192,100.0
synthesis_method__unit,192,100.0
tortuosity,192,100.0
electrolyte__unit,192,100.0
tortuosity__unit,192,100.0
ssa__src,190,98.96
layer_no__unit,190,98.96
composition__unit,189,98.44
porosity__src,189,98.44
layer_no__src,189,98.44
flake_size__src,184,95.83
pore_diameter__src,183,95.31
porosity__unit,181,94.27
electrode_thickness__src,181,94.27
porosity,181,94.27
current_density__src,173,90.1
ssa,155,80.73
ssa__unit,155,80.73
pore_diameter,154,80.21
pore_diameter__unit,154,80.21
areal_capacitance__src,151,78.65
gravimetric_capacitance__src,151,78.65
mass_loading__src,149,77.6
scan_rate__src,146,76.04
volumetric_capacitance__src,144,75.0
interlayer_spacing__src,133,69.27
current_density__unit,132,68.75
current_density,132,68.75
areal_capacitance,117,60.94
areal_capacitance__unit,117,60.94
mass_loading,112,58.33
mass_loading__unit,111,57.81
electrode_thickness,107,55.73
flake_size__unit,107,55.73
electrode_thickness__unit,107,55.73
volumetric_capacitance,97,50.52
volumetric_capacitance__unit,97,50.52
flake_size,93,48.44
scan_rate,71,36.98
scan_rate__unit,71,36.98
gravimetric_capacitance,70,36.46
gravimetric_capacitance__unit,70,36.46
interlayer_spacing__unit,67,34.9
interlayer_spacing,66,34.38
layer_no,32,16.67
year,3,1.56
doi,3,1.56
authors,0,0.0
electrode_label,0,0.0
source_file,0,0.0
source_path,0,0.0
synthesis_method__conf,0,0.0
composition,0,0.0
composition__conf,0,0.0
synthesis_method,0,0.0
role,0,0.0
is_primary,0,0.0
mxene_formula,0,0.0
mxene_formula__conf,0,0.0
interlayer_spacing__conf,0,0.0
layer_no__conf,0,0.0
mass_loading__conf,0,0.0
electrode_thickness__conf,0,0.0
tortuosity__conf,0,0.0
pore_diameter__conf,0,0.0
flake_size__conf,0,0.0
porosity__conf,0,0.0
electrolyte__conf,0,0.0
electrolyte,0,0.0
ssa__conf,0,0.0
scan_rate__conf,0,0.0
gravimetric_capacitance__conf,0,0.0
current_density__conf,0,0.0
volumetric_capacitance__conf,0,0.0
areal_capacitance__conf,0,0.0
formula_match,0,0.0
formula_reasoning,0,0.0
synthesis_match,0,0.0
synthesis_reasoning,0,0.0
electrolyte_match,0,0.0
electrolyte_reasoning,0,0.0
overall,0,0.0
overall_reasoning,0,0.0
